가게명,대분류,중분류,소분류,mean_score,주소,Latitude,Longitude,total review,good service,bad service,good traffic,bad traffic,good cost,bad cost,good taste,bad taste,good_senti,bad_senti
제주오성,식당,한식,"전복요리, 갈치, 해산물 요리",4.2,제주특별자치도 서귀포시 중문관광로 31,33.2554085,126.41455819999999,1286.0,94.0,6.0,0.0,0.0,79.0,21.0,74.0,26.0,3.0,1.0
핀크스비오토피아,식당,양식,"이탈리안 요리, 코스요리",4.0,제주특별자치도 서귀포시 안덕면 산록남로762번길 79,33.3036005,126.39036000000002,30.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,1.0,0.0
탑해장국,식당,한식,"탕, 찌개, 전골",4.1,제주특별자치도 제주시 월랑로 83,33.4917374,126.47244199999999,32.0,0.0,0.0,0.0,0.0,100.0,0.0,67.0,33.0,2.0,0.0
오가네설렁탕,식당,한식,"설렁탕, 전복요리",4.1,제주특별자치도 서귀포시 중산간동로 7738 1F,33.2681801,126.58915640000001,262.0,100.0,0.0,0.0,0.0,71.0,29.0,92.0,8.0,3.0,0.0
공백,카페,-,-,4.1,제주특별자치도 제주시 구좌읍 동복로 83,33.5535179,126.71511740000001,270.0,50.0,50.0,0.0,0.0,20.0,80.0,31.0,69.0,1.0,2.0
아줄레주,카페,-,-,4.2,제주특별자치도 서귀포시 성산읍 신풍하동로19번길 59 나동,33.3643757,126.8395566,162.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,33.0,1.0,0.0
양가형제,식당,양식,"버거, 수제버거, 샌드위치",4.0,제주특별자치도 제주시 한경면 청수동8길 3,33.3073725,126.25409440000001,203.0,100.0,0.0,0.0,0.0,0.0,100.0,30.0,70.0,2.0,2.0
레이지펌프,카페,-,-,4.1,제주특별자치도 제주시 애월읍 애월북서길 32,33.462809,126.3096777,81.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,1.0,1.0
미풍해장국,식당,한식,"해장국, 선지해장국",3.7,제주특별자치도 제주시 중앙로14길 13,33.5112617,126.52292620000001,66.0,0.0,100.0,0.0,0.0,0.0,0.0,17.0,83.0,0.0,2.0
안녕육지사람,식당,양식,"버거, 수제버거, 샌드위치",4.1,제주특별자치도 제주시 우도면 우도해안길 792,33.5151156,126.95724229999999,445.0,90.0,10.0,100.0,0.0,50.0,50.0,58.0,42.0,4.0,1.0
용왕난드르,식당,한식,"보말수제비, 비빔밥, 국수",4.1,제주특별자치도 서귀포시 안덕면 대평감산로 8,33.2354335,126.3670703,53.0,0.0,0.0,0.0,0.0,100.0,0.0,80.0,20.0,2.0,0.0
면뽑는선생만두빚는아내,식당,한식,"밀면, 만두, 전골",4.1,제주특별자치도 제주시 한림읍 한림상로 16,33.404813,126.25712959999998,170.0,50.0,50.0,0.0,0.0,0.0,100.0,58.0,42.0,1.0,2.0
산방식당,식당,한식,"수육, 밀면",3.8,제주특별자치도 서귀포시 대정읍 하모이삼로 62,33.223395000000004,126.2543017,232.0,100.0,0.0,0.0,100.0,50.0,50.0,43.0,57.0,2.0,3.0
사형제횟집,식당,일식,"회, 고등어",4.0,제주특별자치도 제주시 한림읍 한림북동길 2,33.4155004,126.26489280000001,81.0,0.0,0.0,0.0,0.0,100.0,0.0,64.0,36.0,2.0,0.0
옥돔식당,식당,한식,"보말칼국수, 옥돔",3.8,제주특별자치도 서귀포시 대정읍 신영로36번길 62,33.2199418,126.2490877,193.0,0.0,0.0,0.0,0.0,100.0,0.0,50.0,50.0,2.0,1.0
유스커피,카페,-,-,4.3,제주특별자치도 제주시 구산로 54,33.48433,126.5407264,36.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,2.0,1.0
스타벅스,카페,-,-,4.1,제주특별자치도 제주시 조천읍 조함해안로 522,33.544036600000005,126.6537771,360.0,100.0,0.0,100.0,0.0,0.0,0.0,53.0,47.0,3.0,1.0
델문도,카페,-,-,3.8,제주특별자치도 제주시 조천읍 조함해안로 519-10,33.5437905,126.66884409999999,1025.0,23.0,77.0,75.0,25.0,13.0,87.0,45.0,55.0,2.0,3.0
깡촌흑돼지,식당,한식,"흑돼지, 고기요리",4.0,제주특별자치도 제주시 조천읍 함덕14길 2,33.5412881,126.6671156,377.0,80.0,20.0,0.0,0.0,40.0,60.0,59.0,41.0,2.0,2.0
가시아방국수,식당,한식,"고기국수, 면요리",4.0,제주특별자치도 서귀포시 성산읍 섭지코지로 10,33.438615999999996,126.91806499999998,405.0,100.0,0.0,0.0,0.0,100.0,0.0,52.0,48.0,3.0,1.0
바다다,카페,-,-,3.7,제주특별자치도 서귀포시 대포로 148-15,33.237888899999994,126.4365638,295.0,75.0,25.0,0.0,0.0,45.0,55.0,46.0,54.0,2.0,2.0
리듬,카페,-,-,4.1,제주특별자치도 제주시 무근성 7길 11,33.5138019,126.51986940000002,65.0,100.0,0.0,100.0,0.0,0.0,0.0,75.0,25.0,3.0,0.0
하하호호,식당,양식,"버거, 샌드위치",4.0,제주특별자치도 제주시 우도면 우도해안길 532,33.5208272,126.948574,306.0,100.0,0.0,0.0,0.0,40.0,60.0,43.0,57.0,2.0,1.0
심바카레,식당,일식,"일본카레, 돈부리",4.1,제주특별자치도 제주시 애월읍 금성5길 44-16,33.448231199999995,126.302319,96.0,100.0,0.0,0.0,0.0,0.0,100.0,67.0,33.0,2.0,2.0
카페공작소,카페,-,-,4.1,제주특별자치도 제주시 구좌읍 해맞이해안로 1446,33.5246476,126.8599392,80.0,100.0,0.0,0.0,0.0,100.0,0.0,80.0,20.0,4.0,0.0
너는파라다이스길리,카페,-,-,4.2,제주특별자치도 제주시 구좌읍 월정1길 65,33.5566513,126.7937413,76.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,1.0,1.0
더파크뷰,카페,-,-,4.2,제주특별자치도 서귀포시 중문관광로72번길 75 3F,33.2475582,126.40811609999999,20.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,2.0,1.0
지미스,카페,-,-,4.0,제주특별자치도 제주시 우도면 우도해안길 1132,33.4977772,126.9676695,132.0,100.0,0.0,0.0,0.0,0.0,100.0,86.0,14.0,2.0,1.0
스테이굿무드,카페,-,-,3.9,제주특별자치도 제주시 용남1길 32-4,33.5064078,126.513593,50.0,0.0,0.0,100.0,0.0,0.0,100.0,33.0,67.0,2.0,2.0
우정회센터,식당,한식,"꽁치김밥, 회, 해산물 요리",4.0,제주특별자치도 서귀포시 중앙로62번길 18,33.2501708,126.56367859999999,425.0,67.0,33.0,0.0,0.0,85.0,15.0,88.0,12.0,3.0,1.0
커피박물관바움,카페,-,-,4.0,제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17,33.4398006,126.89911740000001,215.0,100.0,0.0,0.0,0.0,0.0,100.0,69.0,31.0,2.0,2.0
원앤온리,카페,-,-,4.0,제주특별자치도 서귀포시 안덕면 산방로 141,33.23923,126.3192943,587.0,0.0,0.0,100.0,0.0,10.0,90.0,43.0,57.0,2.0,2.0
자매국수 본점,식당,한식,"고기국수, 돔베고기",4.1,제주특별자치도 제주시 일도2동 1034-10,33.5081461,126.53242730000001,64.0,0.0,0.0,100.0,0.0,0.0,100.0,43.0,57.0,2.0,2.0
